No.,IPV,Time,Source,Destination,Source Port,Destination Port,Length,Protocol,Human
278,4,6.066202,3232281142,3232281089,49774,80,66,TCP,0
279,4,6.066227,3232281142,3232281089,49771,53,102,DNS,0
280,4,6.066261,3232281142,3232281089,49762,53,54,TCP,0
282,4,6.066345,3232281142,3232281089,49760,53,54,TCP,0
284,4,6.066549,3232281142,3232281089,49775,53,66,TCP,0
285,6,6.066647,3232281142,1746043628,49768,443,591,TLSv1.3,0
286,4,6.066657,3232281142,3232281089,49776,53,66,TCP,0
287,4,6.066683,3232281142,3232281089,49761,53,54,TCP,0
288,4,6.066815,3232281142,3232281089,49772,53,56,TCP,0
289,4,6.066833,3232281142,3232281089,49772,53,102,DNS,0
290,6,6.067927,3232281089,3232281142,53,49771,54,TCP,0
291,6,6.067927,3232281089,3232281142,53,49771,54,TCP,0
292,4,6.067927,3232281089,3232281142,80,49774,66,TCP,0
293,6,6.068071,3232281142,3232281089,49774,80,54,TCP,0
294,4,6.068779,3232281142,580244451,65451,443,454,TLSv1.2,1
295,6,6.068901,3232281142,3232281089,49774,80,273,HTTP,0
296,4,6.068913,3232281089,3232281142,53,49772,54,TCP,0
297,4,6.068913,3232281089,3232281142,53,49772,54,TCP,0
299,4,6.068913,3232281089,3232281142,53,49775,66,TCP,0
300,4,6.069038,3232281142,3232281089,49775,53,54,TCP,0
302,6,6.069593,3232281142,3232281089,49775,53,56,TCP,0
303,4,6.069604,3232281142,3232281089,49775,53,87,DNS,0
304,6,6.070453,3232281089,3232281142,53,49776,66,TCP,0
305,4,6.070453,3232281089,3232281142,80,49774,54,TCP,0
306,4,6.07056,3232281142,3232281089,49776,53,54,TCP,0
307,4,6.071164,3232281142,3232281089,49776,53,56,TCP,0
308,6,6.071182,3232281142,3232281089,49776,53,87,DNS,0
309,4,6.071444,3232281089,3232281142,53,49775,54,TCP,0
310,6,6.071444,3232281089,3232281142,53,49775,54,TCP,0
311,6,6.072738,3353877079,3232281142,443,49773,66,TCP,0
312,6,6.072738,3232281089,3232281142,53,49776,54,TCP,0
313,6,6.072738,3232281089,3232281142,53,49776,54,TCP,0
314,6,6.072738,3232281089,3232281142,80,49774,163,TCP,0
315,4,6.072738,3232281089,3232281142,80,49774,1514,TCP,0
316,4,6.072982,3232281142,3353877079,49773,443,54,TCP,0
317,6,6.073004,3232281142,3232281089,49774,80,54,TCP,0
318,4,6.073312,3232281142,3232281089,49774,80,54,TCP,0
319,6,6.073861,3232281142,3353877079,49773,443,318,TLSv1.2,0
320,6,6.074852,3232281089,3232281142,80,49774,440,HTTP,0
321,4,6.07489,3232281142,3232281089,49774,80,54,TCP,0
322,4,6.07599,1746043628,3232281142,443,49768,54,TCP,0
323,4,6.07599,3232281089,3232281142,53,49769,152,DNS,0
324,6,6.07599,3232281089,3232281142,53,49770,197,DNS,0
325,6,6.076355,3232281142,3232281089,49769,53,54,TCP,0
326,4,6.076429,3232281142,3232281089,49770,53,54,TCP,0
327,4,6.076781,3232281142,3232281089,49777,53,66,TCP,0
328,6,6.076902,3232281142,3232281089,49778,53,66,TCP,0
329,4,6.076944,3232281089,3232281142,53,49761,54,TCP,0
330,6,6.077115,3232281142,3232281089,49761,53,54,TCP,0
331,4,6.078266,3232281089,3232281142,53,49771,283,DNS,0
332,6,6.078266,3353877079,3232281142,443,49773,54,TCP,0
333,6,6.078266,3232281089,3232281142,53,49777,66,TCP,0
334,6,6.078266,2902291547,3232281142,443,49399,124,TLSv1.2,1
335,4,6.078266,3232281089,3232281142,53,49778,66,TCP,0
336,6,6.078266,2902291547,3232281142,443,49399,116,TLSv1.2,1
337,6,6.078266,2902291547,3232281142,443,49399,85,TLSv1.2,1
338,4,6.078516,3232281142,3232281089,49777,53,54,TCP,0
339,4,6.078533,3232281142,2902291547,49399,443,54,TCP,0
340,4,6.07854,3232281142,3232281089,49778,53,54,TCP,0
341,6,6.079105,3232281142,2902291547,49399,443,89,TLSv1.2,1
342,6,6.079111,3232281142,3232281089,49771,53,54,TCP,0
