ipv,deltatime,src,dst,srcport,dstport,length,proto,human
4,1.547870,3232281142,2817227836,49649,443,54,6,0
4,0.000051,3232281142,2817227836,49649,443,54,6,0
4,2.311628,3232281142,60984449,49604,443,54,6,0
4,1.502845,3232281142,2817227836,49650,443,54,6,0
4,0.000021,3232281142,2817227836,49650,443,54,6,0
4,1.681096,3232281142,2817227836,49644,443,54,6,0
4,0.000020,3232281142,2817227836,49644,443,54,6,0
4,0.000000,3232281142,2902291547,49399,443,132,6,1
4,0.000034,3232281142,2902291547,49399,443,93,6,1
4,0.000019,3232281142,2902291547,49399,443,277,6,1
4,0.000000,3232281089,3232281142,53,49760,66,6,0
4,0.000000,3232281089,3232281142,53,49761,66,6,0
4,0.000000,3232281089,3232281142,53,49762,66,6,0
4,0.000000,3232281089,3232281142,53,49763,66,6,0
4,0.000000,3232281089,3232281142,53,49764,66,6,0
4,0.000000,3232281089,3232281142,53,49765,66,6,0
4,0.005943,3232281142,3232281089,49760,53,54,6,0
4,0.005754,3232281142,3232281089,49761,53,54,6,0
4,0.005575,3232281142,3232281089,49762,53,54,6,0
4,0.005469,3232281142,3232281089,49763,53,54,6,0
4,0.005321,3232281142,3232281089,49764,53,54,6,0
4,0.005233,3232281142,3232281089,49765,53,54,6,0
4,0.000000,3512060511,3232281142,443,49342,54,6,0
4,0.000000,3512060511,3232281142,443,49342,93,6,1
4,0.000534,3232281142,3232281089,49760,53,56,6,0
4,0.000496,3232281142,3232281089,49762,53,56,6,0
4,0.000525,3232281142,3232281089,49761,53,56,6,0
4,0.000033,3232281142,3232281089,49760,53,91,6,0
4,0.000034,3232281142,3232281089,49762,53,86,6,0
4,0.000524,3232281142,3232281089,49763,53,56,6,0
4,0.000029,3232281142,3232281089,49761,53,91,6,0
4,0.000037,3232281142,3232281089,49763,53,86,6,0
4,0.000875,3232281142,3232281089,49764,53,56,6,0
4,0.000012,3232281142,3232281089,49764,53,89,6,0
4,0.001007,3232281142,3232281089,49765,53,56,6,0
4,0.000014,3232281142,3232281089,49765,53,89,6,0
4,0.003106,3232281089,3232281142,53,49760,54,6,0
