number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
6716,443,53590,6,66,839.11222057,0.00671101,70.00000000,8.00000000,0.00757504,0
6717,443,53590,6,66,838.98718522,0.00010991,68.66666667,4.00000000,0.00010991,0
6718,443,53590,6,66,838.86218713,0.00000000,68.00000000,2.66666667,0.00000000,0
6719,443,53590,6,834,70.73722628,0.00020909,221.20000000,766.00000000,0.00020909,0
6720,443,53590,6,128,776.72669050,0.00000095,205.66666667,93.20000000,0.00000095,1
6721,53590,443,6,66,838.61102010,0.00005198,381.83333333,379.00000000,0.00708294,0
6722,443,53590,6,97,807.48615247,0.00014806,190.14285714,108.66666667,0.00020003,1
6723,53590,443,6,66,838.36593717,0.00002193,336.71428571,315.83333333,0.00016999,0
6724,53590,443,6,150,754.24114320,0.00011802,313.37500000,186.71428571,0.00011802,0
6725,53590,443,6,97,807.12888823,0.00043106,289.33333333,216.37500000,0.00043106,1
6726,443,53590,6,286,618.00877976,0.00448513,202.12500000,95.85714286,0.00505614,1
6727,443,53590,6,357,546.91682785,0.00000095,219.33333333,154.87500000,0.00000095,1
6728,443,53590,6,97,806.83546564,0.00000000,207.10000000,122.33333333,0.00000000,1
6729,443,53590,6,105,798.71545441,0.00000095,197.81818182,102.10000000,0.00000095,1
6730,53590,443,6,66,837.59666865,0.00009108,267.00000000,223.33333333,0.00457811,0
6731,53590,443,6,105,798.47211896,0.00022292,252.27272727,162.00000000,0.00022292,1
6732,53590,443,6,90,813.35340470,0.00009203,238.75000000,162.27272727,0.00009203,1
6733,53590,443,6,66,837.23249591,0.00001407,225.46153846,172.75000000,0.00001407,0
6734,443,53590,6,66,837.10805589,0.00060201,186.83333333,131.81818182,0.00102210,0
6735,53588,443,6,713,189.98365285,0.00354600,145.71052632,582.62162162,0.14134622,1
6736,53588,443,6,261,641.95542348,0.00134587,148.66666667,115.28947368,0.00134587,1
6737,53588,443,6,263,639.86005051,0.00016212,151.52500000,114.33333333,0.00016212,1
6738,53588,443,6,262,640.76500297,0.00027084,154.21951220,110.47500000,0.00027084,1
6739,53588,443,6,257,645.66983514,0.00018406,156.66666667,102.78048780,0.00018406,1
6740,53588,443,6,255,647.57395307,0.00043297,158.95348837,98.33333333,0.00043297,1
6741,443,53590,6,66,836.47780252,0.00017691,177.53846154,120.83333333,0.00611877,0
6742,443,53590,6,66,836.35362233,0.00000119,169.57142857,111.53846154,0.00000119,0
6743,443,53590,6,66,836.22947900,0.00000095,162.66666667,103.57142857,0.00000095,0
6744,53590,443,6,66,836.10537251,0.00007105,214.07142857,159.46153846,0.00679398,0
6745,443,53588,6,66,835.98130286,0.00493693,1325.68539326,1274.00000000,0.14910698,0
6746,443,53588,6,66,835.85727003,0.00199509,1311.68888889,1259.68539326,0.00199509,0
6747,443,53588,6,66,835.73327399,0.00090790,1298.00000000,1245.68888889,0.00090790,0
6748,62077,53,17,83,818.60931474,0.04453802,83.00000000,0.00000000,3.60242796,0
6749,65162,53,17,76,825.48791339,0.01651692,76,0,0,0
6750,53,65162,17,334,567.36551008,0.00749207,334,0,0,0
6751,53588,443,6,249,652.28139362,0.00162411,161.00000000,90.04651163,0.07826114,1
6752,53588,443,6,299,602.18470205,0.00129890,164.06666667,138.00000000,0.00129890,1
6753,53588,443,6,251,650.09544983,0.00088286,165.95652174,86.93333333,0.00088286,1
6754,53588,443,6,226,674.99911085,0.00007105,167.23404255,60.04347826,0.00007105,1
6755,53588,443,6,299,601.89909616,0.00015712,169.97916667,131.76595745,0.00015712,1
6756,53588,443,6,311,589.80992593,0.00111103,172.85714286,141.02083333,0.00111103,1
6757,53588,443,6,248,652.72255962,0.00007796,174.36000000,75.14285714,0.00007796,1
6758,53591,443,6,78,822.62588863,0.00199103,78,0,0,0
6759,443,53588,6,66,834.50407226,0.00232100,1284.60869565,1232.00000000,0.07808208,0
6760,443,53588,6,66,834.38051525,0.00168681,1271.50537634,1218.60869565,0.00168681,0
6761,443,53588,6,66,834.25699482,0.00132918,1258.68085106,1205.50537634,0.00132918,0
6762,53420,443,6,90,810.13351095,0.00220203,99.25000000,10.57142857,0.29439712,0
6763,53588,443,6,226,674.01361551,0.02181387,175.37254902,51.64000000,0.03134394,1
6764,53588,443,6,224,675.91387985,0.00010300,176.30769231,48.62745098,0.00010300,1
6765,443,53588,6,66,833.81387779,0.00695801,1246.12631579,1192.68085106,0.03107691,0
6766,443,53591,6,74,825.69053254,0.04816508,74,0,0,0
6767,53591,443,6,66,833.56840704,0.00012493,72.00000000,12.00000000,0.08470392,0
6768,53591,443,6,730,169.44513458,0.00049901,291.33333333,658.00000000,0.00049901,0
6769,443,53588,6,1490,590.57992015,0.00804400,1248.66666667,243.87368421,0.05683303,1
6770,443,53588,6,1490,590.49260792,0.00139594,1251.15463918,241.33333333,0.00139594,1
6771,443,53588,6,1179,279.40532151,0.00000095,1250.41836735,72.15463918,0.00000095,1
6772,53588,443,6,66,833.63597399,0.00007010,174.22641509,110.30769231,0.06525803,0
6773,53589,443,6,222,677.51278262,0.00755095,179.76923077,45.75000000,0.39688396,1
6774,443,53588,6,1490,590.58732270,0.00145102,1252.83838384,239.58163265,0.00907207,1
6775,53589,443,6,101,798.49992613,0.00075603,174.14285714,78.76923077,0.00220704,1
6776,443,53588,6,1490,590.61802068,0.00017905,1255.21000000,237.16161616,0.00093508,1
6777,443,53588,6,1425,525.53079309,0.00000095,1256.89108911,169.79000000,0.00000095,0
6778,443,53588,6,1490,590.45318960,0.00000000,1259.17647059,233.10891089,0.00000000,1
6779,443,53588,6,1490,590.36601211,0.00000095,1261.41747573,230.82352941,0.00000095,1
6780,443,53588,6,1243,343.27886035,0.00000095,1261.24038462,18.41747573,0.00000095,1
6781,53588,443,6,66,833.77180812,0.00006008,172.22222222,108.22641509,0.00999999,0
6782,53588,443,6,66,833.64876033,0.00018501,170.29090909,106.22222222,0.00018501,0
6783,53589,443,6,150,749.52574886,0.00274801,172.53333333,24.14285714,0.00317502,1
6784,443,53589,6,66,833.41516672,0.00344491,558.82352941,523.62500000,0.40579200,0
6785,443,53589,6,219,680.29222599,0.00057912,539.94444444,339.82352941,0.00057912,1
6786,53589,443,6,66,833.19188791,0.00005198,165.87500000,106.53333333,0.00407600,0
6787,443,53588,6,1490,590.93098363,0.00522208,1263.41904762,228.75961538,0.01229119,1
6788,443,53588,6,1490,590.84385137,0.00000095,1265.55660377,226.58095238,0.00000095,1
6789,443,53588,6,1247,347.75674480,0.00000095,1265.38317757,18.55660377,0.00000095,1
6790,53588,443,6,66,833.29451651,0.00013089,168.42857143,104.29090909,0.01217890,0
6791,443,53589,6,66,833.17170228,0.00055099,515.00000000,473.94444444,0.00595784,0
6792,443,53589,6,66,833.04892426,0.00016713,492.55000000,449.00000000,0.00016713,0
6793,443,53589,6,225,673.92618241,0.00097704,479.80952381,267.55000000,0.00097704,1
6794,53589,443,6,66,832.82690041,0.00004888,160.00000000,99.87500000,0.00709891,0
6795,443,53588,6,1490,591.29577257,0.00810695,1267.46296296,224.61682243,0.00998187,1
6796,443,53588,6,1490,591.20868925,0.00115514,1269.50458716,222.53703704,0.00115514,1
6797,443,53588,6,1490,591.12163157,0.00000095,1271.50909091,220.49541284,0.00000095,1
6798,443,53588,6,1490,591.03459953,0.00000095,1273.47747748,218.49090909,0.00000095,1
6799,443,53588,6,811,88.05240689,0.00000095,1269.34821429,462.47747748,0.00000095,1
6800,443,53588,6,1490,590.96055343,0.00000119,1271.30088496,220.65178571,0.00000119,1
6801,443,53588,6,1490,590.87358352,0.00000000,1273.21929825,218.69911504,0.00000000,1
6802,443,53588,6,1490,590.78663920,0.00000095,1275.10434783,216.78070175,0.00000095,1
6803,443,53588,6,1490,590.69972046,0.00000095,1276.95689655,214.89565217,0.00000095,1
6804,443,53588,6,1490,590.61282730,0.00000095,1278.77777778,213.04310345,0.00000095,1
6805,443,53588,6,461,438.47404030,0.00000000,1271.84745763,817.77777778,0.00000000,1
6806,53588,443,6,66,833.40955882,0.00006795,166.63157895,102.42857143,0.01108098,0
6807,53588,443,6,66,833.28701662,0.00019813,164.89655172,100.63157895,0.00019813,0
6808,53588,443,6,619,280.16451044,0.00463510,172.59322034,454.10344828,0.00463510,1
6809,443,53588,6,1490,590.87667206,0.01584983,1273.68067227,218.15254237,0.02075100,1
6810,443,53588,6,1490,590.78982951,0.00000095,1275.48333333,216.31932773,0.00000095,1
6811,443,53588,6,1204,304.70301249,0.00000119,1274.89256198,71.48333333,0.00000119,1
6812,53588,443,6,66,833.34175727,0.00013399,170.81666667,106.59322034,0.01598597,0
6813,53588,443,6,66,833.21933304,0.00011182,169.09836066,104.81666667,0.00011182,0
6814,443,53588,6,1490,590.90305523,0.01256514,1276.65573770,215.10743802,0.01281095,1
6815,443,53588,6,1490,590.81627258,0.00177193,1278.39024390,213.34426230,0.00177193,1
6816,443,53588,6,1490,590.72951542,0.00000095,1280.09677419,211.60975610,0.00000095,1
6817,443,53588,6,1490,590.64278373,0.00000119,1281.77600000,209.90322581,0.00000119,1
6818,443,53588,6,1490,590.55607751,0.00000095,1283.42857143,208.22400000,0.00000095,1
6819,443,53588,6,1144,244.46939674,0.00000000,1282.33070866,139.42857143,0.00000000,1
6820,53588,443,6,66,833.56648077,0.00009704,167.43548387,103.09836066,0.01443720,0
6821,53588,443,6,66,833.44416728,0.00019002,165.82539683,101.43548387,0.00019002,0
6822,443,53591,6,1490,590.67811033,0.00617194,782.00000000,1416.00000000,0.08530998,0
6823,53591,443,6,66,833.40853748,0.00008297,235.00000000,225.33333333,0.08476901,0
6824,443,53591,6,1490,590.71369903,0.00074100,1018.00000000,708.00000000,0.00082397,0
6825,443,53591,6,715,184.37292858,0.00000095,942.25000000,303.00000000,0.00000095,0
6826,443,53588,6,1490,590.65410557,0.00000000,1283.95312500,207.66929134,0.00728393,1
6827,53591,443,6,66,833.43248790,0.00002813,201.20000000,169.00000000,0.00077009,0
6828,443,53588,6,1490,590.68968045,0.00239086,1285.55038760,206.04687500,0.00241899,1
6829,443,53588,6,1169,269.60310714,0.00000191,1284.65384615,116.55038760,0.00000191,1
6830,443,53588,6,1490,590.56359906,0.00000119,1286.22137405,205.34615385,0.00000119,1
6831,443,53588,6,1490,590.47706960,0.00000095,1287.76515152,203.77862595,0.00000095,1
6832,443,53588,6,1259,359.39056548,0.00000095,1287.54887218,28.76515152,0.00000095,1
6833,53588,443,6,66,833.66207705,0.00007701,164.26562500,99.82539683,0.00949788,0
6834,53588,443,6,66,833.53998243,0.00062108,162.75384615,98.26562500,0.00062108,0
6835,53591,443,6,130,769.41792356,0.00152802,189.33333333,71.20000000,0.00462198,0
6836,53591,443,6,1215,315.69472914,0.00010800,335.85714286,1025.66666667,0.00010800,1
6837,443,53588,6,1490,590.64851413,0.01883483,1289.05970149,202.45112782,0.02116895,1
