number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
4444,443,51595,6,1506,693.01383126,0.00000000,1465.34434562,40.70737913,0.00000000,0
4445,443,51595,6,1506,692.85411385,0.00000000,1465.39593909,40.65565438,0.00000000,0
4446,443,51595,6,1506,692.69447005,0.00000000,1465.44740177,40.60406091,0.00000000,0
4447,443,51595,6,1506,692.53489979,0.00000000,1465.49873418,40.55259823,0.00000000,0
4448,443,51595,6,1506,692.37540304,0.00000000,1465.54993679,40.50126582,0.00000000,0
4449,443,51595,6,1506,692.21597974,0.00000000,1465.60101010,40.45006321,0.00000000,1
4450,443,51595,6,1506,692.05662983,0.00000000,1465.65195460,40.39898990,0.00000000,0
4451,51595,443,6,54,760.10264672,0.00023508,271.19047619,222.48780488,0.00027514,0
4452,443,51595,6,1506,692.07225035,0.00003791,1465.70277078,40.34804540,0.00027299,0
4453,443,51595,6,1506,691.91304348,0.00000000,1465.75345912,40.29722922,0.00000000,0
4454,443,51595,6,1506,691.75390984,0.00000000,1465.80402010,40.24654088,0.00000000,0
4455,443,51595,6,1506,691.59484939,0.00000000,1465.85445420,40.19597990,0.00000000,0
4456,443,51595,6,1506,691.43586207,0.00000000,1465.90476190,40.14554580,0.00000000,0
4457,443,51595,6,1506,691.27694783,0.00000000,1465.95494368,40.09523810,0.00000000,0
4458,443,51595,6,1506,691.11810662,0.00000000,1466.00500000,40.04505632,0.00000000,0
